part_id,description,times_held,grip_y,grip_y_min,grip_y_max,grip_matrix,in_library
6141,Plate  1 x  1 Round,4,-10.0,-10.0,-10.0,0.936 0.0 -0.349 -0.088 0.967 -0.235 0.338 0.25 0.907,True
61482,Minifig Handcuffs,4,-1.1,-2.3,-0.8,-0.171 0.014 -0.985 -0.954 -0.251 0.162 -0.245 0.968 0.056,True
2570,Minifig Crossbow,3,-3.7,-3.7,-2.9,0.999 -0.0 -0.007 -0.002 0.967 -0.25 0.007 0.25 0.969,True
3876,Minifig Shield Round,3,-11.6,-11.6,-11.0,0.999 0.0 -0.0 0.0 0.969 -0.242 -0.0 0.242 0.97,True
58247,Minifig Gun Short Blaster,3,-2.9,-4.2,-0.3,0.974 0.0 -0.227 -0.056 0.967 -0.244 0.22 0.25 0.943,True
6123,Minifig Polearm Halberd,3,-15.5,-16.1,-13.5,0.875 -0.0 0.483 0.12 0.969 -0.217 -0.468 0.248 0.848,True
71342,Minifig Bugle,3,-1.0,-1.3,0.0,0.865 0.0 0.5 0.121 0.969 -0.21 -0.485 0.241 0.84,True
10049,Minifig Shield Broad with Spiked Bottom and Cutout Corner,2,-0.0,0.0,-0.0,0.011 0.996 -0.087 -0.97 -0.011 -0.244 -0.244 0.087 0.966,True
10049p01,"Minifig Shield Broad with Spiked Bottom, Cutout Corner with White Handprint Pattern",2,-0.0,-0.0,-0.0,0.011 0.996 -0.087 -0.97 -0.011 -0.244 -0.244 0.087 0.966,True
10053,Minifig Sword Small with Curved Blade,2,-2.6,-2.9,-2.6,-1.0 -0.0 -0.0 0.0 0.968 0.25 -0.0 0.25 -0.968,True
2586p4b,Minifig Shield Ovoid with Green Dragon Pattern,2,-0.1,-0.1,-0.1,-0.0 -0.996 0.086 0.969 -0.021 -0.247 0.248 0.083 0.965,True
2586pw1,Minifig Shield Ovoid with American Indian Pattern,2,-1.0,-2.3,-1.0,-0.025 -0.102 0.994 -0.969 0.241 -0.0 -0.241 -0.963 -0.105,True
30126,Minifig Feathers with Pin,2,-0.3,-1.3,-0.3,-0.259 -0.002 0.966 -0.241 -0.967 -0.067 0.935 -0.251 0.25,True
30127p01,Minifig Feathers with Clip and Black Tip Pattern,2,-18.2,-19.2,-18.2,0.577 0.045 0.814 0.196 0.959 -0.194 -0.792 0.272 0.545,True
3062b,Brick  1 x  1 Round with Hollow Stud,2,16.1,9.8,16.1,-1.014 -0.001 -0.002 -0.0 0.97 0.243 0.0 0.242 -0.97,True
33078,Minifig Food Sausage,2,-0.0,-20.7,-0.0,0.0 -0.422 -0.906 0.969 0.219 -0.102 0.242 -0.879 0.41,True
3836,Minifig Pushbroom,2,-13.8,-19.4,-13.8,0.0 -0.003 -0.999 -0.241 0.969 -0.01 1.0 0.241 0.025,True
3841,Minifig Pickaxe,2,-11.6,-16.9,-11.6,-0.999 0.0 -0.0 -0.0 0.97 0.242 0.0 0.242 -0.969,True
4210a,Minifig Tool Hose Nozzle with Handle,2,-11.0,-16.0,-11.0,-0.999 0.0 0.0 -0.0 1.0 0.0 0.0 -0.0 -1.0,True
4360,Minifig Camera with Side Sight,2,-23.5,-24.2,-23.5,-0.001 -0.004 1.0 0.292 0.956 0.004 -0.956 0.292 0.0,True
4528,Minifig Frypan,2,-22.6,-22.6,-22.6,0.987 0.158 0.0 -0.04 0.247 0.968 0.153 -0.956 0.251,True
4599a,Tap  1 x  1 with Hole in Spout,2,-7.1,-13.8,-7.1,-1.014 -0.001 -0.002 -0.0 0.97 0.243 0.0 0.242 -0.97,True
55297,Minifig Tool Power Drill,2,-5.8,-6.5,-5.8,0.999 0.0 -0.0 0.0 0.969 -0.241 -0.0 0.242 0.969,True
55298,Minifig Tool Screwdriver,2,-0.0,-0.0,-0.0,0.999 0.0 -0.0 0.0 0.969 -0.241 -0.0 0.242 0.969,True
71200,,2,-10.0,-17.8,-10.0,0.999 0.0 -0.001 0.0 0.968 -0.25 -0.0 0.251 0.968,False
98721,Minifig Bar with Bat Wings,2,-0.8,-2.3,-0.8,-0.0 0.995 -0.097 0.968 0.024 0.249 0.25 -0.094 -0.964,True
